"","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team"
"168","7","Mo Williams","PG","6-1",198,"December 19 1982","11","University of Alabama","Hornets"
"169","40","Cody Zeller","C","7-0",240,"October 5 1992","1","Indiana University","Hornets"
"170","22","Jerrelle Benimon","PF","6-8",245,"August 1 1991","R","Towson University","Jazz"
"171","33","Trevor Booker","PF","6-8",228,"November 25 1987","4","Clemson University","Jazz"
"172","3","Trey Burke","PG","6-1",191,"November 12 1992","1","University of Michigan","Jazz"
"173","10","Alec Burks","SG","6-6",214,"July 20 1991","3","University of Colorado","Jazz"
"174","19","Patrick Christopher","SG","6-5",209,"June 3 1988","R","University of California","Jazz"
"175","21","Ian Clark","SG","6-3",175,"March 7 1991","1","Belmont University","Jazz"
"176","45","Jack Cooley","PF","6-9",260,"April 4 1991","R","University of Notre Dame","Jazz"
"177","8","Bryce Cotton","PG","6-1",165,"August 11 1992","R","Providence College","Jazz"
"178","40","Jeremy Evans","SF","6-9",196,"October 24 1987","4","Western Kentucky University","Jazz"
"179","11","Dante Exum","PG","6-6",190,"July 13 1995","R","","Jazz"
"180","15","Derrick Favors","PF","6-10",265,"July 15 1991","4","Georgia Institute of Technology","Jazz"
"181","27","Rudy Gobert","C","7-1",245,"June 26 1992","1","","Jazz"
"182","20","Gordon Hayward","SF","6-8",226,"March 23 1990","4","Butler University","Jazz"
"183","5","Rodney Hood","SG","6-8",206,"October 20 1992","R","Duke University","Jazz"
"184","2","Joe Ingles","SF","6-8",226,"October 2 1987","R","","Jazz"
"185","17","Grant Jerrett","PF","6-10",235,"July 8 1993","R","University of Arizona","Jazz"
"186","23","Chris Johnson","SF","6-6",206,"April 29 1990","2","University of Dayton","Jazz"
"187","0","Enes Kanter","C","6-11",245,"May 20 1992","3","","Jazz"
"188","13","Elijah Millsap","SG","6-6",225,"August 12 1987","R","University of Alabama at Birmingham","Jazz"
"189","23","Toure' Murry","PG","6-5",195,"November 8 1989","1","Wichita State University","Jazz"
"190","16","Steve Novak","SF","6-10",225,"June 13 1983","8","Marquette University","Jazz"
"191","25","Elliot Williams","SG","6-5",190,"June 20 1989","2","University of Memphis","Jazz"
"192","32","Sim Bhullar","C","7-5",360,"December 2 1992","R","New Mexico State University","Kings"
"193","18","Omri Casspi","SF","6-9",225,"June 22 1988","5","","Kings"
"194","7","Darren Collison","PG","6-0",175,"August 23 1987","5","University of California Los Angeles","Kings"
"195","15","DeMarcus Cousins","C","6-11",270,"August 13 1990","4","University of Kentucky","Kings"
"196","30","Reggie Evans","PF","6-8",245,"May 18 1980","12","University of Iowa","Kings"
"197","8","Rudy Gay","SF","6-8",230,"August 17 1986","8","University of Connecticut","Kings"
"198","5","Ryan Hollins","C","7-0",240,"October 10 1984","8","University of California Los Angeles","Kings"
"199","24","Carl Landry","PF","6-9",248,"September 19 1983","7","Purdue University","Kings"
