"","College","Longitude","Latitude"
"128","Roberto-Venn School of Luthiery",-112.086161,33.45489
"129","Hair Academy of Safford",-109.727696,32.835302
"130","Scottsdale Community College",-111.887298,33.509489
"131","South Mountain Community College",-112.057515,33.381001
"132","Arizona Christian University",-112.026211,33.595117
"133","Tucson College",-110.883181,32.22205
"134","Universal Technical Institute of Arizona Inc",-112.289693,33.453533
"135","Western International University",-111.96412,33.403635
"136","Empire Beauty School-NW Phoenix",-112.118168,33.538093
"137","Yavapai College",-112.454156,34.547512
"138","University of Arkansas at Little Rock",-92.341835,34.726644
"139","University of Arkansas for Medical Sciences",-92.320945,34.749718
"140","ABC Beauty College Inc",-93.080831,34.12018
"141","Arkansas Baptist College",-92.290555,34.734751
"142","Arkansas Beauty School-Little Rock",-92.334814,34.669071
"143","Arkansas Beauty College",-93.13522,35.278622
"144","Lyon College",-91.628115,35.778934
"145","Arkansas College of Barbering and Hair Design",-92.266336,34.753621
"146","Arthur's Beauty College Inc-Fort Smith",-94.410967,35.379955
"147","University of Arkansas",-94.178214,36.06153
"148","University of Arkansas at Pine Bluff",-92.021263,34.242192
"149","Arkansas State University-Beebe",-91.896165,35.074512
"150","Arkansas State University-Main Campus",-90.680478,35.842779
"151","Arkansas Tech University",-93.13233,35.295227
"152","University of Arkansas at Monticello",-91.812971,33.589788
"153","Arthur's Beauty College Inc-Jacksonville",-92.102284,34.8918
"154","Baptist Health Schools-Little Rock",-92.40692,34.713115
"155","Black River Technical College",-90.951033,36.239793
"156","University of Central Arkansas",-92.45931,35.078196
"157","Central Baptist College",-92.444102,35.084574
"158","Cossatot Community College of the University of Arkansas",-94.3673,34.043389
"159","Crowley's Ridge College",-90.58482,36.066239
"160","Crowley's Ridge Technical Institute",-90.767807,35.041908
"161","East Arkansas Community College",-90.767445,35.039673
"162","Eastern College of Health Vocations-Little Rock",-92.341891,34.75128
"163","Imagine-Paul Mitchell Partner School",-92.221304,34.791306
"164","National Park Community College",-93.117111,34.512731
"165","University of Arkansas Community College-Batesville",-91.616123,35.79293
"166","Harding University",-91.729008,35.249605
"167","Henderson State University",-93.060313,34.127792
"168","Hendrix College",-92.442021,35.09972
"169","Hot Springs Beauty College",-93.038381,34.496287
"170","Jefferson Regional Medical Center School of Nursing",-92.018045,34.187831
"171","John Brown University",-94.559088,36.191077
"172","Lees School of Cosmetology",-92.296729,34.781993
"173","Career Academy of Hair Design",-94.131834,36.16757
"174","Marsha Kay Beauty College",-92.386019,36.344658
"175","Academy of Salon and Spa",-94.416327,35.380891
"176","Mid-South Community College",-90.22285,35.145736
"177","Arkansas Northeastern College",-89.922491,35.897362
"178","Margaret's Hair Academy Inc",-91.7887,33.629169
"179","New Tyler Barber College Inc",-92.254108,34.759076
"180","North Arkansas College",-93.087317,36.220528
"181","Northwest Technical Institute",-94.116433,36.178617
"182","Ouachita Baptist University",-93.052442,34.125045
"183","College of the Ouachitas",-92.821416,34.378745
"184","Ozarka College",-91.896355,36.053031
"185","University of the Ozarks",-93.467924,35.477785
"186","University of Arkansas Community College-Morrilton",-92.728507,35.172136
"187","Philander Smith College",-92.28242,34.73666
"188","Phillips Community College of the University of Arkansas",-90.617745,34.544976
"189","Southeast Arkansas College",-92.024731,34.209797
"190","Professional Cosmetology Education Center",-92.663131,33.215124
"191","Pulaski Technical College",-92.299729,34.78243
"192","University of Arkansas Community College-Hope",-93.584528,33.64791
"193","Rich Mountain Community College",-94.2197,34.590793
"194","Paul Mitchell the School-Arkansas",-94.154447,36.127461
"195","Searcy Beauty College Inc",-91.73454,35.237723
"196","Shorter College",-92.261331,34.75933
"197","Williams Baptist College",-90.939876,36.126825
"198","South Arkansas Community College",-92.666087,33.209446
"199","Southern Arkansas University Main Campus",-93.235087,33.291195
"200","Southern Arkansas University Tech",-92.719498,33.63037
"201","University of Arkansas System Office",-92.343714,34.775989
"202","Velvatex College of Beauty Culture",-92.289758,34.735724
"203","University of Arkansas-Fort Smith",-94.374073,35.385345
"204","Academy of Art University",-122.400686,37.787748
"205","ITT Technical Institute-Rancho Cordova",-121.281506,38.59172
"206","Academy of Chinese Culture and Health Sciences",-122.270022,37.806143
"207","The Academy of Radio and TV Broadcasting",-117.987666,33.728895
"208","Avalon School of Cosmetology-Alameda",-122.243566,37.764203
"209","College of Alameda",-122.279261,37.78239
"210","Allan Hancock College",-120.421486,34.942979
"211","American Academy of Dramatic Arts-Los Angeles",-118.344097,34.095315
"212","American Baptist Seminary of the West",-122.256149,37.865252
"213","American Film Institute Conservatory",-118.309989,34.10846
"214","American Beauty College",-118.125036,33.884391
"215","American Career College-Los Angeles",-118.292282,34.079236
"216","American Conservatory Theater",-122.404945,37.787326
"217","American River College",-121.346012,38.649734
"218","Antelope Valley College",-118.186166,34.676207
"219","Art Center College of Design",-118.186901,34.170844
"220","Associated Technical College-Los Angeles",-118.27243,34.055987
"221","Associated Technical College-San Diego",-117.158203,32.715658
"222","Azusa Pacific University",-117.88795,34.130865
"223","Bakersfield College",-118.973491,35.4108
"224","Barstow Community College",-117.02523,34.871451
"225","Bellus Academy-National City",-117.090235,32.676762
"226","Bethesda University",-117.941323,33.842295
"227","Biola University",-118.017342,33.904823
"228","Brooks Institute",-119.294152,34.338173
"229","Brownson Technical School",-117.906409,33.819
"230","Bryan University",-118.302882,34.061406
"231","Butte College",-121.644691,39.649116
"232","Phillips Graduate Institute",-118.567621,34.24202
"233","California Institute of Integral Studies",-122.416537,37.774768
"234","Cabrillo College",-121.927926,36.9891
"235","California Baptist University",-117.42587,33.928569
"236","California College of the Arts",-122.400263,37.767266
"237","University of California-Hastings College of Law",-122.415395,37.780718
"238","California Institute of Technology",-118.12574,34.139275
"239","California Lutheran University",-118.879467,34.225551
"240","California Polytechnic State University-San Luis Obispo",-120.65856,35.29889
"241","Alliant International University-San Diego",-117.094398,32.897056
"242","California State University-Bakersfield",-119.104711,35.350005
"243","California State University-Stanislaus",-120.852511,37.52577
"244","California State University-Chancellors Office",-118.201255,33.764338
"245","California State University-San Bernardino",-117.322508,34.182987
"246","California State Polytechnic University-Pomona",-117.819019,34.054273
"247","California State University-Chico",-121.846333,39.728003
"248","California State University-Dominguez Hills",-118.259316,33.86524
"249","California State University-Fresno",-119.748258,36.814477
"250","California State University-Fullerton",-117.885349,33.883627
"251","California State University-East Bay",-122.058073,37.65707
"252","California State University-Long Beach",-118.1123,33.782752
"253","California State University-Los Angeles",-118.168965,34.066927
"254","California State University-Northridge",-118.526817,34.23671
"255","California State University-Sacramento",-121.42194,38.55745
"256","University of California-Berkeley",-122.260401,37.871519
"257","University of California-Davis",-121.751958,38.539895
"258","University of California-Irvine",-117.841248,33.648434
"259","University of California-Los Angeles",-118.443901,34.068892
"260","University of California-Riverside",-117.331098,33.97588
"261","University of California-San Diego",-117.237793,32.876598
"262","University of California-San Francisco",-122.458049,37.762736
"263","University of California-Santa Barbara",-119.848031,34.415402
"264","University of California-Santa Cruz",-122.067993,36.997258
"265","Sofia University",-122.10866,37.430325
"266","California Beauty School",-120.99689,37.645217
"267","California Christian College",-119.732752,36.767596
"268","California College San Diego",-117.167121,32.83529
"269","Le Cordon Bleu College of Culinary Arts-San Francisco",-122.402643,37.765415
"270","California Hair Design Academy",-117.024261,32.765221
"271","California Institute of the Arts",-118.567303,34.393337
"272","The California Maritime Academy",-122.231551,38.069061
"273","California Western School of Law",-117.162597,32.72194
"274","Canada College",-122.265549,37.447365
"275","College of the Canyons",-118.569524,34.403121
"276","Career Academy of Beauty",-118.031697,33.781018
"277","Casa Loma College-Van Nuys",-118.448335,34.195438
"278","CET-San Diego",-117.122496,32.711715
"279","CET-Sobrato",-121.88698,37.322723
"280","CET-El Centro",-115.549079,32.790908
"281","CET-San Bernardino",-117.268738,34.075136
"282","CET-Watsonville",-121.767991,36.931833
"283","CET-Gilroy",-121.561429,37.015671
"284","CET-Salinas",-121.652791,36.671635
"285","Cerritos College",-118.097263,33.88584
"286","Cerro Coso Community College",-117.667706,35.567763
"287","Chabot College",-122.106969,37.642513
"288","Chaffey College",-117.573086,34.14705
"289","Chapman University",-117.851481,33.793678
"290","Charles R Drew University of Medicine and Science",-118.242791,33.925658
"291","Concordia University-Irvine",-117.81063,33.6535
"292","San Diego Christian College",-116.977577,32.842505
"293","Church Divinity School of the Pacific",-122.261391,37.876169
"294","Citrus College",-117.885266,34.135487
"295","Citrus Heights Beauty College",-121.289501,38.7131
"296","City College of San Francisco",-122.451155,37.725953
"297","Claremont Graduate University",-117.712394,34.103778
"298","Claremont McKenna College",-117.706593,34.102323
"299","Milan Institute-Visalia",-119.312151,36.27164
"300","Clovis Adult Education",-119.69019,36.836915
"301","Coast Community College District Office",-117.911116,33.669121
"302","Coastline Community College",-117.861844,33.609771
"303","Cogswell College",-122.024177,37.407027
"304","Coleman University",-117.136493,32.821962
"305","COBA Academy",-117.85348,33.788258
"306","Western University of Health Sciences",-117.747732,34.058092
"307","Columbia College",-120.387603,38.030361
"308","Columbia College-Hollywood",-118.538394,34.179596
"309","El Camino College-Compton Center",-118.209186,33.876665
"310","Contra Costa Community College District Office",-122.134774,38.018943
"311","Contra Costa College",-122.342386,37.968623
"312","Cosumnes River College",-121.422971,38.453836
"313","Crafton Hills College",-117.100826,34.038513
"314","Cuesta College",-120.741624,35.329859
"315","Cuyamaca College",-116.941044,32.743072
"316","Cypress College",-118.023889,33.827625
"317","De Anza College",-122.045365,37.319176
"318","Marinello Schools of Beauty-Hemet",-116.999892,33.746002
"319","International School of Beauty Inc",-116.403928,33.729555
"320","Dell'Arte International School of Physical Theatre",-123.988878,40.880871
"321","College of the Desert",-116.38761,33.732484
"322","Design Institute of San Diego",-117.149808,32.731022
"323","Diablo Valley College",-122.069861,37.968035
"324","Dominican University of California",-122.514654,37.980014
"325","Dominican School of Philosophy & Theology",-122.264612,37.881099
"326","East Los Angeles College",-118.148384,34.039205
"327","Marinello Schools of Beauty-Santa Clara",-121.947773,37.347964
"328","El Camino Community College District",-118.326623,33.885586
"329","Elegance International",-118.338332,34.062216
"330","Marinello Schools of Beauty-Burbank",-118.309749,34.181902
"331","Marinello Schools of Beauty-Moreno Valley",-117.228072,33.915981
