value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"1","http://espn.go.com/nba/player/_/id/110/kobe-bryant","Kobe Bryant","",", SF","Los Angeles Lakers","http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers","Los Angeles Lakers","","$23,500,000","23500000"
"2","http://espn.go.com/nba/player/_/id/1007/joe-johnson","Joe Johnson","",", SF","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$23,180,790","23180790"
"3","http://espn.go.com/nba/player/_/id/1975/carmelo-anthony","Carmelo Anthony","",", SF","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$22,458,401","22458401"
"4","http://espn.go.com/nba/player/_/id/2384/dwight-howard","Dwight Howard","",", C","Houston Rockets","http://espn.go.com/nba/team/_/name/hou/houston-rockets","Houston Rockets","","$21,436,271","21436271"
"5","http://espn.go.com/nba/player/_/id/1977/chris-bosh","Chris Bosh","",", PF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$20,644,400","20644400"
"6","http://espn.go.com/nba/player/_/id/1966/lebron-james","LeBron James","",", SF","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$20,644,400","20644400"
"7","http://espn.go.com/nba/player/_/id/2779/chris-paul","Chris Paul","",", PG","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$20,068,563","20068563"
"8","http://espn.go.com/nba/player/_/id/2798/deron-williams","Deron Williams","",", PG","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$19,754,465","19754465"
"9","http://espn.go.com/nba/player/_/id/3005/rudy-gay","Rudy Gay","",", SF","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$19,317,326","19317326"
"10","http://espn.go.com/nba/player/_/id/3202/kevin-durant","Kevin Durant","",", SF","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$18,995,624","18995624"
"RK","","","","NAME","TEAM","","","","SALARY",""
"11","http://espn.go.com/nba/player/_/id/3456/derrick-rose","Derrick Rose","",", PG","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$18,862,876","18862876"
"12","http://espn.go.com/nba/player/_/id/3989/blake-griffin","Blake Griffin","",", PF","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$17,674,613","17674613"
"13","http://espn.go.com/nba/player/_/id/1017/zach-randolph","Zach Randolph","",", PF","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$16,500,000","16500000"
"14","http://espn.go.com/nba/player/_/id/2983/lamarcus-aldridge","LaMarcus Aldridge","",", PF","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$16,006,000","16006000"
"15","http://espn.go.com/nba/player/_/id/4251/paul-george","Paul George","",", SF","Indiana Pacers","http://espn.go.com/nba/team/_/name/ind/indiana-pacers","Indiana Pacers","","$15,937,290","15937290"
"16","http://espn.go.com/nba/player/_/id/3206/marc-gasol","Marc Gasol","",", C","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$15,829,688","15829688"
"17","http://espn.go.com/nba/player/_/id/3449/kevin-love","Kevin Love","",", PF","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$15,719,063","15719063"
"18","http://espn.go.com/nba/player/_/id/3468/russell-westbrook","Russell Westbrook","",", PG","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$15,719,062","15719062"
"19","http://espn.go.com/nba/player/_/id/3448/brook-lopez","Brook Lopez","",", C","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$15,719,062","15719062"
"20","http://espn.go.com/nba/player/_/id/2772/david-lee","David Lee","",", PF","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$15,012,000","15012000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"21","http://espn.go.com/nba/player/_/id/1987/dwyane-wade","Dwyane Wade","",", SG","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$15,000,000","15000000"
"22","http://espn.go.com/nba/player/_/id/3436/roy-hibbert","Roy Hibbert","",", C","Indiana Pacers","http://espn.go.com/nba/team/_/name/ind/indiana-pacers","Indiana Pacers","","$14,898,938","14898938"
"23","http://espn.go.com/nba/player/_/id/3431/eric-gordon","Eric Gordon","",", SG","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$14,898,938","14898938"
"24","http://espn.go.com/nba/player/_/id/984/tyson-chandler","Tyson Chandler","",", C","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$14,846,888","14846888"
"25","http://espn.go.com/nba/player/_/id/4237/john-wall","John Wall","",", PG","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$14,746,000","14746000"
"26","http://espn.go.com/nba/player/_/id/4258/demarcus-cousins","DeMarcus Cousins","",", PF","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$14,746,000","14746000"
"27","http://espn.go.com/nba/player/_/id/3992/james-harden","James Harden","",", SG","Houston Rockets","http://espn.go.com/nba/team/_/name/hou/houston-rockets","Houston Rockets","","$14,728,844","14728844"
"28","http://espn.go.com/nba/player/_/id/6466/chandler-parsons","Chandler Parsons","",", SF","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$14,700,000","14700000"
"29","http://espn.go.com/nba/player/_/id/2389/al-jefferson","Al Jefferson","",", C","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$13,500,000","13500000"
"30","http://espn.go.com/nba/player/_/id/1713/nene-hilario","Nene Hilario","",", C","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$13,000,000","13000000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"31","http://espn.go.com/nba/player/_/id/4238/eric-bledsoe","Eric Bledsoe","",", PG","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$13,000,000","13000000"
"32","http://espn.go.com/nba/player/_/id/2747/andrew-bogut","Andrew Bogut","",", C","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$12,972,973","12972973"
"33","http://espn.go.com/nba/player/_/id/4257/derrick-favors","Derrick Favors","",", PF","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$12,950,000","12950000"
"34","http://espn.go.com/nba/player/_/id/3026/rajon-rondo","Rajon Rondo","",", PG","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$12,909,090","12909090"
"35","http://espn.go.com/nba/player/_/id/3224/joakim-noah","Joakim Noah","",", C","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$12,700,000","12700000"
"36","http://espn.go.com/nba/player/_/id/1015/tony-parker","Tony Parker","",", PG","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$12,500,000","12500000"
"37","http://espn.go.com/nba/player/_/id/3439/serge-ibaka","Serge Ibaka","",", PF","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$12,350,000","12350000"
"38","http://espn.go.com/nba/player/_/id/2386/andre-iguodala","Andre Iguodala","",", SF","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$12,289,544","12289544"
"39","http://espn.go.com/nba/player/_/id/3453/nikola-pekovic","Nikola Pekovic","",", C","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$12,100,000","12100000"
"40","http://espn.go.com/nba/player/_/id/3012/kyle-lowry","Kyle Lowry","",", PG","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$12,000,000","12000000"
