value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"201","http://espn.go.com/nba/player/_/id/3004/joel-freeland","Joel Freeland","",", C","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$3,013,512","3013512"
"202","http://espn.go.com/nba/player/_/id/3444/kosta-koufos","Kosta Koufos","",", C","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$3,000,000","3000000"
"203","http://espn.go.com/nba/player/_/id/3415/d.j.-augustin","D.J. Augustin","",", PG","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$3,000,000","3000000"
"204","http://espn.go.com/nba/player/_/id/3003/randy-foye","Randy Foye","",", SG","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$3,000,000","3000000"
"205","http://espn.go.com/nba/player/_/id/3064514/julius-randle","Julius Randle","",", PF","Los Angeles Lakers","http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers","Los Angeles Lakers","","$2,997,360","2997360"
"206","http://espn.go.com/nba/player/_/id/6461/markieff-morris","Markieff Morris","",", PF","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$2,989,239","2989239"
"207","http://espn.go.com/nba/player/_/id/6577/furkan-aldemir","Furkan Aldemir","",", PF","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$2,963,232","2963232"
"208","http://espn.go.com/nba/player/_/id/6462/marcus-morris","Marcus Morris","",", PF","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$2,943,221","2943221"
"209","http://espn.go.com/nba/player/_/id/2816/will-bynum","Will Bynum","",", PG","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$2,915,908","2915908"
"210","http://espn.go.com/nba/player/_/id/6450/kawhi-leonard","Kawhi Leonard","",", SF","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$2,894,059","2894059"
"RK","","","","NAME","TEAM","","","","SALARY",""
"211","http://espn.go.com/nba/player/_/id/3190/marco-belinelli","Marco Belinelli","",", SG","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$2,873,750","2873750"
"212","http://espn.go.com/nba/player/_/id/6619/terrence-ross","Terrence Ross","",", SF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$2,793,960","2793960"
"213","http://espn.go.com/nba/player/_/id/2581018/kentavious-caldwell-pope","Kentavious Caldwell-Pope","",", SG","Detroit Pistons","http://espn.go.com/nba/team/_/name/det/detroit-pistons","Detroit Pistons","","$2,772,480","2772480"
"214","http://espn.go.com/nba/player/_/id/6478/nikola-vucevic","Nikola Vucevic","",", C","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$2,751,260","2751260"
"215","http://espn.go.com/nba/player/_/id/1985/luke-ridnour","Luke Ridnour","",", PG","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$2,750,000","2750000"
"216","http://espn.go.com/nba/player/_/id/2991042/nik-stauskas","Nik Stauskas","",", SG","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$2,745,840","2745840"
"217","http://espn.go.com/nba/player/_/id/6641/brian-roberts","Brian Roberts","",", PG","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$2,732,000","2732000"
"218","http://espn.go.com/nba/player/_/id/2184/udonis-haslem","Udonis Haslem","",", PF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$2,732,000","2732000"
"219","http://espn.go.com/nba/player/_/id/2439/jameer-nelson","Jameer Nelson","",", PG","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$2,732,000","2732000"
"220","http://espn.go.com/nba/player/_/id/558/mike-miller","Mike Miller","",", SG","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$2,732,000","2732000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"221","http://espn.go.com/nba/player/_/id/1981/kirk-hinrich","Kirk Hinrich","",", SG","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$2,732,000","2732000"
"222","http://espn.go.com/nba/player/_/id/6468/iman-shumpert","Iman Shumpert","",", SG","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$2,616,975","2616975"
"223","http://espn.go.com/nba/player/_/id/6585/andre-drummond","Andre Drummond","",", C","Detroit Pistons","http://espn.go.com/nba/team/_/name/det/detroit-pistons","Detroit Pistons","","$2,568,360","2568360"
"224","http://espn.go.com/nba/player/_/id/2579260/trey-burke","Trey Burke","",", PG","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$2,548,560","2548560"
"225","http://espn.go.com/nba/player/_/id/3078284/noah-vonleh","Noah Vonleh","",", PF","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$2,524,200","2524200"
"226","http://espn.go.com/nba/player/_/id/3999/james-johnson","James Johnson","",", PF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$2,500,000","2500000"
"227","http://espn.go.com/nba/player/_/id/3970/demarre-carroll","DeMarre Carroll","",", SF","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$2,442,455","2442455"
"228","http://espn.go.com/nba/player/_/id/6617/austin-rivers","Austin Rivers","",", PG","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$2,439,840","2439840"
"229","http://espn.go.com/nba/player/_/id/6454/shelvin-mack","Shelvin Mack","",", PG","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$2,433,333","2433333"
"230","http://espn.go.com/nba/player/_/id/2490149/c.j.-mccollum","C.J. McCollum","",", SG","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$2,421,000","2421000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"231","http://espn.go.com/nba/player/_/id/2583639/elfrid-payton","Elfrid Payton","",", PG","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$2,397,840","2397840"
"232","http://espn.go.com/nba/player/_/id/6440/tobias-harris","Tobias Harris","",", SF","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$2,380,594","2380594"
"233","http://espn.go.com/nba/player/_/id/6605/meyers-leonard","Meyers Leonard","",", PF","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$2,317,920","2317920"
"234","http://espn.go.com/nba/player/_/id/2596108/michael-carter-williams","Michael Carter-Williams","",", PG","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$2,300,040","2300040"
