"","Player","Position","Team","Salary14-15"
"362","Damjan Rudez",", SF","Indiana Pacers","$1,100,000"
"377","Donald Sloan",", PG","Indiana Pacers","$948,163"
"8","Chris Paul",", PG","Los Angeles Clippers","$20,068,563"
"14","Blake Griffin",", PF","Los Angeles Clippers","$17,674,613"
"58","J.J. Redick",", SG","Los Angeles Clippers","$6,792,500"
"85","Jamal Crawford",", SG","Los Angeles Clippers","$5,450,000"
"90","Spencer Hawes",", PF","Los Angeles Clippers","$5,305,000"
"151","Matt Barnes",", SF","Los Angeles Clippers","$3,396,250"
"168","Carlos Delfino",", SG","Los Angeles Clippers","$3,250,000"
"207","Austin Rivers",", PG","Los Angeles Clippers","$2,439,840"
"314","DeAndre Jordan",", C","Los Angeles Clippers","$11,440,123"
"360","C.J. Wilcox",", SG","Los Angeles Clippers","$1,109,760"
"442","Dahntay Jones",", SG","Los Angeles Clippers","$387,632"
"460","Jordan Hamilton",", SG","Los Angeles Clippers","$150,591"
"466","Nate Robinson",", PG","Los Angeles Clippers","$107,676"
"2","Kobe Bryant",", SF","Los Angeles Lakers","$23,500,000"
"101","Nick Young",", SF","Los Angeles Lakers","$4,994,420"
"165","Carlos Boozer",", PF","Los Angeles Lakers","$3,251,000"
"182","Julius Randle",", PF","Los Angeles Lakers","$2,997,360"
"259","Ryan Kelly",", PF","Los Angeles Lakers","$1,650,000"
"328","Steve Nash",", PG","Los Angeles Lakers","$9,701,000"
"335","Jordan Hill",", C","Los Angeles Lakers","$9,000,000"
"341","Jeremy Lin",", PG","Los Angeles Lakers","$8,374,646"
"366","Xavier Henry",", SG","Los Angeles Lakers","$1,082,000"
"369","Ed Davis",", C","Los Angeles Lakers","$981,084"
"390","Ronnie Price",", PG","Los Angeles Lakers","$915,243"
"470","Jabari Brown",", SG","Los Angeles Lakers","$59,686"
"15","Zach Randolph",", PF","Memphis Grizzlies","$16,500,000"
"18","Marc Gasol",", C","Memphis Grizzlies","$15,829,688"
"84","Courtney Lee",", SG","Memphis Grizzlies","$5,450,000"
"105","Tony Allen",", SF","Memphis Grizzlies","$4,831,461"
"134","Vince Carter",", SG","Memphis Grizzlies","$3,911,981"
