"","Player","Position","Team","Salary14-15"
"211","Elfrid Payton",", PG","Orlando Magic","$2,397,840"
"212","Tobias Harris",", SF","Orlando Magic","$2,380,594"
"241","Maurice Harkless",", SF","Orlando Magic","$1,887,840"
"246","Anthony Randolph",", SF","Orlando Magic","$1,825,359"
"263","Andrew Nicholson",", PF","Orlando Magic","$1,545,840"
"269","Evan Fournier",", SF","Orlando Magic","$1,483,920"
"274","Willie Green",", SG","Orlando Magic","$1,448,490"
"338","Channing Frye",", PF","Orlando Magic","$8,579,088"
"394","Devyn Marble",", SF","Orlando Magic","$884,879"
"406","Peyton Siva",", PG","Orlando Magic","$816,482"
