value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"69","http://espn.go.com/nba/player/_/id/3412/ryan-anderson","Ryan Anderson","",", PF","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$8,491,500","8491500"
"70","http://espn.go.com/nba/player/_/id/4299/jeremy-lin","Jeremy Lin","",", PG","Los Angeles Lakers","http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers","Los Angeles Lakers","","$8,374,646","8374646"
"RK","","","","NAME","TEAM","","","","SALARY",""
"71","http://espn.go.com/nba/player/_/id/3414/omer-asik","Omer Asik","",", C","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$8,374,646","8374646"
"72","http://espn.go.com/nba/player/_/id/2751/monta-ellis","Monta Ellis","",", SG","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$8,360,000","8360000"
"73","http://espn.go.com/nba/player/_/id/3450/o.j.-mayo","O.J. Mayo","",", SG","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$8,000,000","8000000"
"74","http://espn.go.com/nba/player/_/id/4015/jeff-teague","Jeff Teague","",", PG","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$8,000,000","8000000"
"75","http://espn.go.com/nba/player/_/id/609/dirk-nowitzki","Dirk Nowitzki","",", PF","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$7,974,482","7974482"
"76","http://espn.go.com/nba/player/_/id/2767/ersan-ilyasova","Ersan Ilyasova","",", PF","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$7,900,000","7900000"
"77","http://espn.go.com/nba/player/_/id/1724/tayshaun-prince","Tayshaun Prince","",", SF","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$7,707,865","7707865"
"78","http://espn.go.com/nba/player/_/id/2167/boris-diaw","Boris Diaw","",", C","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$7,500,000","7500000"
"79","http://espn.go.com/nba/player/_/id/3187/arron-afflalo","Arron Afflalo","",", SG","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$7,500,000","7500000"
"80","http://espn.go.com/nba/player/_/id/3423/goran-dragic","Goran Dragic","",", PG","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$7,500,000","7500000"
