value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"161","http://espn.go.com/nba/player/_/id/136/vince-carter","Vince Carter","",", SG","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$3,911,981","3911981"
"162","http://espn.go.com/nba/player/_/id/4289/kevin-seraphin","Kevin Seraphin","",", C","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$3,898,692","3898692"
"163","http://espn.go.com/nba/player/_/id/2382/devin-harris","Devin Harris","",", PG","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$3,878,896","3878896"
"164","http://espn.go.com/nba/player/_/id/6427/bismack-biyombo","Bismack Biyombo","",", C","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$3,873,398","3873398"
"165","http://espn.go.com/nba/player/_/id/4004/patty-mills","Patty Mills","",", PG","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$3,842,105","3842105"
"166","http://espn.go.com/nba/player/_/id/3247/joel-anthony","Joel Anthony","",", C","Detroit Pistons","http://espn.go.com/nba/team/_/name/det/detroit-pistons","Detroit Pistons","","$3,800,000","3800000"
"167","http://espn.go.com/nba/player/_/id/2753/raymond-felton","Raymond Felton","",", PG","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$3,793,693","3793693"
"168","http://espn.go.com/nba/player/_/id/6477/jonas-valanciunas","Jonas Valanciunas","",", C","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$3,678,360","3678360"
"169","http://espn.go.com/nba/player/_/id/6618/thomas-robinson","Thomas Robinson","",", PF","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$3,678,360","3678360"
"170","http://espn.go.com/nba/player/_/id/3460/marreese-speights","Marreese Speights","",", C","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$3,657,500","3657500"
"RK","","","","NAME","TEAM","","","","SALARY",""
"171","http://espn.go.com/nba/player/_/id/2596107/alex-len","Alex Len","",", C","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$3,649,920","3649920"
"172","http://espn.go.com/nba/player/_/id/3102528/dante-exum","Dante Exum","",", PG","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$3,615,000","3615000"
"173","http://espn.go.com/nba/player/_/id/6448/brandon-knight","Brandon Knight","",", PG","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$3,553,917","3553917"
"174","http://espn.go.com/nba/player/_/id/2761/gerald-green","Gerald Green","",", SG","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$3,500,000","3500000"
"175","http://espn.go.com/nba/player/_/id/3413/darrell-arthur","Darrell Arthur","",", PF","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$3,457,149","3457149"
"176","http://espn.go.com/nba/player/_/id/3018/steve-novak","Steve Novak","",", SF","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$3,445,947","3445947"
"177","http://espn.go.com/nba/player/_/id/1765/matt-barnes","Matt Barnes","",", SF","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$3,396,250","3396250"
"178","http://espn.go.com/nba/player/_/id/4385/mirza-teletovic","Mirza Teletovic","",", PF","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$3,368,100","3368100"
"179","http://espn.go.com/nba/player/_/id/6606/damian-lillard","Damian Lillard","",", PG","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$3,340,920","3340920"
"180","http://espn.go.com/nba/player/_/id/6622/mike-scott","Mike Scott","",", PF","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$3,333,333","3333333"
"RK","","","","NAME","TEAM","","","","SALARY",""
"181","http://espn.go.com/nba/player/_/id/3991/tyler-hansbrough","Tyler Hansbrough","",", PF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$3,326,235","3326235"
"182","http://espn.go.com/nba/player/_/id/434/andrei-kirilenko","Andrei Kirilenko","",", SF","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$3,326,235","3326235"
"183","http://espn.go.com/nba/player/_/id/1708/mike-dunleavy","Mike Dunleavy","",", SG","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$3,326,235","3326235"
"184","http://espn.go.com/nba/player/_/id/2991280/nerlens-noel","Nerlens Noel","",", PF","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$3,315,120","3315120"
"185","http://espn.go.com/nba/player/_/id/2990992/marcus-smart","Marcus Smart","",", PG","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$3,283,320","3283320"
"186","http://espn.go.com/nba/player/_/id/3882/alexey-shved","Alexey Shved","",", PG","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$3,282,056","3282056"
"187","http://espn.go.com/nba/player/_/id/3232/jason-smith","Jason Smith","",", PF","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$3,278,000","3278000"
