value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"241","http://espn.go.com/nba/player/_/id/2991235/steven-adams","Steven Adams","",", C","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$2,184,960","2184960"
"242","http://espn.go.com/nba/player/_/id/3046453/vitor-faverani","Vitor Faverani","",", C","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$2,090,000","2090000"
"243","http://espn.go.com/nba/player/_/id/3231/ramon-sessions","Ramon Sessions","",", PG","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$2,077,000","2077000"
"244","http://espn.go.com/nba/player/_/id/2448/beno-udrih","Beno Udrih","",", PG","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$2,077,000","2077000"
"245","http://espn.go.com/nba/player/_/id/2411/josh-smith","Josh Smith","",", C","Houston Rockets","http://espn.go.com/nba/team/_/name/hou/houston-rockets","Houston Rockets","","$2,077,000","2077000"
"246","http://espn.go.com/nba/player/_/id/3277/c.j.-watson","C.J. Watson","",", PG","Indiana Pacers","http://espn.go.com/nba/team/_/name/ind/indiana-pacers","Indiana Pacers","","$2,077,000","2077000"
"247","http://espn.go.com/nba/player/_/id/2968439/aron-baynes","Aron Baynes","",", C","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$2,077,000","2077000"
"248","http://espn.go.com/nba/player/_/id/2489663/kelly-olynyk","Kelly Olynyk","",", C","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$2,075,760","2075760"
"249","http://espn.go.com/nba/player/_/id/3064440/zach-lavine","Zach LaVine","",", PG","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$2,055,840","2055840"
"250","http://espn.go.com/nba/player/_/id/6431/norris-cole","Norris Cole","",", PG","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$2,038,206","2038206"
"RK","","","","NAME","TEAM","","","","SALARY",""
"251","http://espn.go.com/nba/player/_/id/6446/cory-joseph","Cory Joseph","",", PG","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$2,023,261","2023261"
"252","http://espn.go.com/nba/player/_/id/6430/jimmy-butler","Jimmy Butler","",", SG","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$2,008,748","2008748"
"253","http://espn.go.com/nba/player/_/id/3965/dejuan-blair","DeJuan Blair","",", C","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$2,000,000","2000000"
"254","http://espn.go.com/nba/player/_/id/1726/john-salmons","John Salmons","",", SF","New Orleans Pelicans","http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans","New Orleans Pelicans","","$2,000,000","2000000"
"255","http://espn.go.com/nba/player/_/id/6637/kent-bazemore","Kent Bazemore","",", SF","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$2,000,000","2000000"
"256","http://espn.go.com/nba/player/_/id/6592/john-henson","John Henson","",", PF","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$1,987,320","1987320"
"257","http://espn.go.com/nba/player/_/id/2993875/shabazz-muhammad","Shabazz Muhammad","",", SF","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$1,971,960","1971960"
