value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"121","http://espn.go.com/nba/player/_/id/3211/spencer-hawes","Spencer Hawes","",", PF","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$5,305,000","5305000"
"122","http://espn.go.com/nba/player/_/id/3220/josh-mcroberts","Josh McRoberts","",", PF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$5,305,000","5305000"
"123","http://espn.go.com/nba/player/_/id/2393/shaun-livingston","Shaun Livingston","",", PG","Golden State Warriors","http://espn.go.com/nba/team/_/name/gs/golden-state-warriors","Golden State Warriors","","$5,305,000","5305000"
"124","http://espn.go.com/nba/player/_/id/6459/nikola-mirotic","Nikola Mirotic","",", PF","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$5,305,000","5305000"
"125","http://espn.go.com/nba/player/_/id/1995/keith-bogans","Keith Bogans","",", SG","Philadelphia 76ers","http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers","Philadelphia 76ers","","$5,285,817","5285817"
"126","http://espn.go.com/nba/player/_/id/2016/zaza-pachulia","Zaza Pachulia","",", C","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$5,200,000","5200000"
"127","http://espn.go.com/nba/player/_/id/6474/tristan-thompson","Tristan Thompson","",", C","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$5,138,430","5138430"
"128","http://espn.go.com/nba/player/_/id/6601/michael-kidd-gilchrist","Michael Kidd-Gilchrist","",", SF","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$5,016,960","5016960"
"129","http://espn.go.com/nba/player/_/id/3242/brandan-wright","Brandan Wright","",", PF","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$5,000,000","5000000"
"130","http://espn.go.com/nba/player/_/id/3968/chase-budinger","Chase Budinger","",", SF","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$5,000,000","5000000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"131","http://espn.go.com/nba/player/_/id/3243/nick-young","Nick Young","",", SF","Los Angeles Lakers","http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers","Los Angeles Lakers","","$4,994,420","4994420"
"132","http://espn.go.com/nba/player/_/id/2527963/victor-oladipo","Victor Oladipo","",", SG","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$4,978,200","4978200"
"133","http://espn.go.com/nba/player/_/id/3056600/jabari-parker","Jabari Parker","",", PF","Milwaukee Bucks","http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks","Milwaukee Bucks","","$4,930,560","4930560"
"134","http://espn.go.com/nba/player/_/id/1781/luis-scola","Luis Scola","",", PF","Indiana Pacers","http://espn.go.com/nba/team/_/name/ind/indiana-pacers","Indiana Pacers","","$4,868,499","4868499"
"135","http://espn.go.com/nba/player/_/id/2367/tony-allen","Tony Allen","",", SF","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$4,831,461","4831461"
"136","http://espn.go.com/nba/player/_/id/1982/chris-kaman","Chris Kaman","",", C","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$4,800,000","4800000"
