value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"401","http://espn.go.com/nba/player/_/id/2008/dahntay-jones","Dahntay Jones","",", SG","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$387,632","387632"
"402","http://espn.go.com/nba/player/_/id/2232456/patrick-christopher","Patrick Christopher","",", SG","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$379,010","379010"
"403","http://espn.go.com/nba/player/_/id/2530574/ronald-roberts-jr.","Ronald Roberts Jr.","",", PF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$373,041","373041"
"404","http://espn.go.com/nba/player/_/id/4229/reggie-williams","Reggie Williams","",", SF","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$344,036","344036"
"405","http://espn.go.com/nba/player/_/id/1727/amar'e-stoudemire","Amar'e Stoudemire","",", PF","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$306,876","306876"
"406","http://espn.go.com/nba/player/_/id/2528787/lorenzo-brown","Lorenzo Brown","",", PG","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$283,367","283367"
"407","http://espn.go.com/nba/player/_/id/2018/kendrick-perkins","Kendrick Perkins","",", C","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$274,573","274573"
"408","http://espn.go.com/nba/player/_/id/2866/john-lucas-iii","John Lucas III","",", PG","Detroit Pistons","http://espn.go.com/nba/team/_/name/det/detroit-pistons","Detroit Pistons","","$269,189","269189"
"409","http://espn.go.com/nba/player/_/id/4321/elijah-millsap","Elijah Millsap","",", SG","Utah Jazz","http://espn.go.com/nba/team/_/name/utah/utah-jazz","Utah Jazz","","$241,731","241731"
"410","http://espn.go.com/nba/player/_/id/6593/bernard-james","Bernard James","",", C","Dallas Mavericks","http://espn.go.com/nba/team/_/name/dal/dallas-mavericks","Dallas Mavericks","","$236,886","236886"
"RK","","","","NAME","TEAM","","","","SALARY",""
"411","http://espn.go.com/nba/player/_/id/2530572/langston-galloway","Langston Galloway","",", SG","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$235,762","235762"
"412","http://espn.go.com/nba/player/_/id/2530276/tyler-johnson","Tyler Johnson","",", SG","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$199,950","199950"
"413","http://espn.go.com/nba/player/_/id/3464/henry-walker","Henry Walker","",", SF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$196,217","196217"
"414","http://espn.go.com/nba/player/_/id/3418/michael-beasley","Michael Beasley","",", SF","Miami Heat","http://espn.go.com/nba/team/_/name/mia/miami-heat","Miami Heat","","$195,440","195440"
"415","http://espn.go.com/nba/player/_/id/6611/quincy-miller","Quincy Miller","",", SF","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$183,049","183049"
