value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"281","http://espn.go.com/nba/player/_/id/2999547/gary-harris","Gary Harris","",", SG","Denver Nuggets","http://espn.go.com/nba/team/_/name/den/denver-nuggets","Denver Nuggets","","$1,519,200","1519200"
"282","http://espn.go.com/nba/player/_/id/2789/ronny-turiaf","Ronny Turiaf","",", C","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$1,500,000","1500000"
"283","http://espn.go.com/nba/player/_/id/3047256/miroslav-raduljica","Miroslav Raduljica","",", C","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$1,500,000","1500000"
"284","http://espn.go.com/nba/player/_/id/6588/evan-fournier","Evan Fournier","",", SF","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$1,483,920","1483920"
"285","http://espn.go.com/nba/player/_/id/6464/donatas-motiejunas","Donatas Motiejunas","",", PF","Houston Rockets","http://espn.go.com/nba/team/_/name/hou/houston-rockets","Houston Rockets","","$1,483,920","1483920"
"286","http://espn.go.com/nba/player/_/id/2528353/tony-snell","Tony Snell","",", SF","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$1,472,400","1472400"
"287","http://espn.go.com/nba/player/_/id/3113297/bruno-caboclo","Bruno Caboclo","",", SF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$1,458,360","1458360"
"288","http://espn.go.com/nba/player/_/id/2328418/scotty-hopson","Scotty Hopson","",", SG","Sacramento Kings","http://espn.go.com/nba/team/_/name/sac/sacramento-kings","Sacramento Kings","","$1,450,878","1450878"
"289","http://espn.go.com/nba/player/_/id/2004/willie-green","Willie Green","",", SG","Orlando Magic","http://espn.go.com/nba/team/_/name/orl/orlando-magic","Orlando Magic","","$1,448,490","1448490"
"290","http://espn.go.com/nba/player/_/id/617/lamar-odom","Lamar Odom","",", PF","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$1,448,490","1448490"
"RK","","","","NAME","TEAM","","","","SALARY",""
"291","http://espn.go.com/nba/player/_/id/1051/mike-james","Mike James","",", PG","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$1,448,490","1448490"
"292","http://espn.go.com/nba/player/_/id/6624/jared-sullinger","Jared Sullinger","",", C","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$1,424,520","1424520"
"293","http://espn.go.com/nba/player/_/id/2534781/gorgui-dieng","Gorgui Dieng","",", C","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$1,413,480","1413480"
"294","http://espn.go.com/nba/player/_/id/2991041/mitch-mcgary","Mitch McGary","",", PF","Oklahoma City Thunder","http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder","Oklahoma City Thunder","","$1,400,040","1400040"
"295","http://espn.go.com/nba/player/_/id/3972/victor-claver","Victor Claver","",", PF","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$1,370,000","1370000"
"296","http://espn.go.com/nba/player/_/id/2488653/mason-plumlee","Mason Plumlee","",", C","Brooklyn Nets","http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets","Brooklyn Nets","","$1,357,080","1357080"
"297","http://espn.go.com/nba/player/_/id/2993873/jordan-adams","Jordan Adams","",", SG","Memphis Grizzlies","http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies","Memphis Grizzlies","","$1,344,120","1344120"
"298","http://espn.go.com/nba/player/_/id/1709/melvin-ely","Melvin Ely","",", C","Washington Wizards","http://espn.go.com/nba/team/_/name/wsh/washington-wizards","Washington Wizards","","$1,316,809","1316809"
"299","http://espn.go.com/nba/player/_/id/6594/john-jenkins","John Jenkins","",", SG","Atlanta Hawks","http://espn.go.com/nba/team/_/name/atl/atlanta-hawks","Atlanta Hawks","","$1,312,920","1312920"
