value_1,link_1,link_1/_text,link_1/_title,value_2,content,link_2,link_2/_text,link_2/_title,value_3,value_3_prices
"RK","","","","NAME","TEAM","","","","SALARY",""
"81","http://espn.go.com/nba/player/_/id/4032/wesley-matthews","Wesley Matthews","",", SG","Portland Trail Blazers","http://espn.go.com/nba/team/_/name/por/portland-trail-blazers","Portland Trail Blazers","","$7,245,640","7245640"
"82","http://espn.go.com/nba/player/_/id/6472/isaiah-thomas","Isaiah Thomas","",", PG","Phoenix Suns","http://espn.go.com/nba/team/_/name/phx/phoenix-suns","Phoenix Suns","","$7,238,606","7238606"
"83","http://espn.go.com/nba/player/_/id/4240/avery-bradley","Avery Bradley","",", PG","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$7,191,011","7191011"
"84","http://espn.go.com/nba/player/_/id/996/pau-gasol","Pau Gasol","",", C","Chicago Bulls","http://espn.go.com/nba/team/_/name/chi/chicago-bulls","Chicago Bulls","","$7,128,000","7128000"
"85","http://espn.go.com/nba/player/_/id/2806/jose-calderon","Jose Calderon","",", PG","New York Knicks","http://espn.go.com/nba/team/_/name/ny/new-york-knicks","New York Knicks","","$7,097,191","7097191"
"86","http://espn.go.com/nba/player/_/id/6442/kyrie-irving","Kyrie Irving","",", PG","Cleveland Cavaliers","http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers","Cleveland Cavaliers","","$7,070,730","7070730"
"87","http://espn.go.com/nba/player/_/id/272/manu-ginobili","Manu Ginobili","",", SG","San Antonio Spurs","http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs","San Antonio Spurs","","$7,000,000","7000000"
"88","http://espn.go.com/nba/player/_/id/2797/marvin-williams","Marvin Williams","",", PF","Charlotte Hornets","http://espn.go.com/nba/team/_/name/cha/charlotte-hornets","Charlotte Hornets","","$7,000,000","7000000"
"89","http://espn.go.com/nba/player/_/id/2769/amir-johnson","Amir Johnson","",", PF","Toronto Raptors","http://espn.go.com/nba/team/_/name/tor/toronto-raptors","Toronto Raptors","","$7,000,000","7000000"
"90","http://espn.go.com/nba/player/_/id/2745/brandon-bass","Brandon Bass","",", PF","Boston Celtics","http://espn.go.com/nba/team/_/name/bos/boston-celtics","Boston Celtics","","$6,900,000","6900000"
"RK","","","","NAME","TEAM","","","","SALARY",""
"91","http://espn.go.com/nba/player/_/id/2394/kevin-martin","Kevin Martin","",", SG","Minnesota Timberwolves","http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves","Minnesota Timberwolves","","$6,792,500","6792500"
"92","http://espn.go.com/nba/player/_/id/3024/j.j.-redick","J.J. Redick","",", SG","Los Angeles Clippers","http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers","Los Angeles Clippers","","$6,792,500","6792500"
